country,state,county,lat,lon,site_number,monitoring_period,o3_observations,pm25_observations,no2_observations,site_address,data_source
US,Texas,Cameron County,26.200335,-97.712684,1023,2019-01-01 - 2024-06-30,1954,0,0,1602 W Teege Avenue,EPA
US,Texas,Lubbock County,33.58553,-101.78698,1028,2019-01-01 - 2024-06-30,0,1915,0,3901 East 12th Street,EPA
US,Texas,Bowie County,33.436111,-94.07778,1031,2019-01-10 - 2024-06-30,0,1915,0,2700 New Boston Rd,EPA
US,Texas,Denton County,33.410648,-96.94459,1032,2019-01-01 - 2024-06-30,1990,0,0,792 E Northside Dr,EPA
US,Texas,Galveston County,29.254474,-94.861289,1034,2019-01-01 - 2024-06-30,3910,3701,3871,9511 Avenue V 1/2,EPA
US,Texas,Harris County,29.733726,-95.257593,1035,2019-01-01 - 2024-06-30,3761,1897,3687,9525 1/2 Clinton Dr,EPA
US,Texas,McLennan County,31.653086,-97.070704,1037,2019-01-01 - 2024-06-30,1980,0,0,4472 Mazanec Rd,EPA
US,Texas,Wilson County,29.1307,-98.1481,1038,2020-01-01 - 2024-06-30,0,0,1471,1404 Hospital Blvd,EPA
US,Texas,Harris County,29.670025,-95.128508,1039,2019-01-01 - 2024-06-30,2001,1879,1984,4514 1/2 Durant Street,EPA
US,Texas,Ellis County,32.175417,-96.870189,1044,2019-01-01 - 2024-06-30,1964,0,1752,900 FM 667 Ellis County,EPA
US,Texas,Bell County,31.122419,-97.431052,1045,2019-01-01 - 2024-06-30,1991,1851,0,8406 Georgia Avenue,EPA
US,Texas,Hidalgo County,26.288622,-98.152066,1046,2019-01-03 - 2024-06-30,0,1082,0,1491 East Freddy Gonzalez Drive,EPA
US,Texas,Bell County,31.088002,-97.679734,1047,2019-01-01 - 2024-06-30,1962,0,1884,1605 Stone Tree Drive,EPA
US,Texas,Harris County,29.583047,-95.015544,1050,2019-01-01 - 2024-06-30,1978,982,1916,4522 Park Rd,EPA
US,Texas,Navarro County,32.031934,-96.399141,1051,2019-01-01 - 2024-06-30,1994,745,1786,Corsicana Airport,EPA
US,Texas,Harris County,29.81453,-95.38769,1052,2019-01-01 - 2024-06-30,0,1367,1760,822 North Loop,EPA
US,Texas,Tarrant County,32.664753,-97.337917,1053,2019-01-01 - 2024-06-30,0,1807,1845,1198 California Parkway North,EPA
US,Texas,Harris County,29.7216,-95.49265,1066,2019-01-01 - 2024-06-30,0,0,1778,5617 Westward Avenue,EPA
US,Texas,Dallas County,32.92118,-96.75355,1067,2019-01-01 - 2024-06-30,0,0,1792,8652 LBJ Freeway,EPA
US,Texas,Travis County,30.35386,-97.69166,1068,2019-01-01 - 2024-06-30,0,1949,1817,8912 N IH 35 SVRD SB,EPA
US,Texas,Bexar County,29.529432,-98.391403,1069,2019-01-01 - 2024-06-30,0,1869,1863,9904 IH 35 N,EPA
US,Texas,Karnes County,28.88044,-97.888065,1070,2020-01-01 - 2024-06-30,0,0,1636,1100B East Main Avenue,EPA
US,Texas,Brazos County,30.628333,-96.362777,1086,2020-02-27 - 2024-06-30,0,1524,0,3670 Finfeather Road,EPA
US,Texas,Bexar County,29.635,-98.4177,1087,2023-11-16 - 2024-06-30,0,221,0,3843 Bulverde Parkway,EPA
US,Texas,Atascosa County,29.162997,-98.589158,1090,2020-05-29 - 2024-06-30,0,1437,0,17534 North State Highway 16,EPA
US,Texas,Cameron County,25.900911,-97.507783,1098,2023-04-06 - 2024-06-30,0,437,0,85 East 6th Street,EPA
US,Texas,Orange County,30.194167,-93.866944,1100,2019-01-01 - 2024-06-04,0,1894,0,INTERSECTION OF TX HWYS 62 AND 12,EPA
US,Texas,Tarrant County,32.922492,-97.282099,2003,2019-01-01 - 2024-06-30,1995,0,1584,FAA Site off Alta Vista Road,EPA
US,Texas,Cameron County,26.0711,-97.1577,2004,2019-10-07 - 2024-06-30,0,1561,0,33174 State Park Road 100,EPA
US,Texas,Tarrant County,32.98426,-97.063721,3009,2019-01-01 - 2024-06-30,1985,0,1986,4100 Fairway Dr,EPA
US,Texas,Tarrant County,32.65637,-97.088598,3011,2019-01-01 - 2024-06-30,1702,0,1778,5504 South Collins Street,EPA
US,Texas,Polk County,30.7017,-94.6742,9991,2019-01-01 - 2024-06-30,3900,0,0,"361 Tombigbee Rd, Livingston, TX 77351",EPA
