"","time","lat","lon","address","site_number","no2","o3","pm25","source","year","month","day","pm_diff"
"45","2021-08-28",32.4871,-97.04825,"Worth Court",99159,NA,NA,10.1045,"PurpleAir",2021,8,28,-7.5995
"46","2021-08-29",32.4871,-97.04825,"Worth Court",99159,NA,NA,8.493,"PurpleAir",2021,8,29,-1.6115
"47","2021-08-30",32.4871,-97.04825,"Worth Court",99159,NA,NA,8.556,"PurpleAir",2021,8,30,0.0630000000000024
"48","2021-08-31",32.4871,-97.04825,"Worth Court",99159,NA,NA,4.1485,"PurpleAir",2021,8,31,-4.4075
"49","2021-09-01",32.4871,-97.04825,"Worth Court",99159,NA,NA,14.1035,"PurpleAir",2021,9,1,9.955
"50","2021-09-02",32.4871,-97.04825,"Worth Court",99159,NA,NA,19.188,"PurpleAir",2021,9,2,5.0845
"51","2021-09-03",32.4871,-97.04825,"Worth Court",99159,NA,NA,8.075,"PurpleAir",2021,9,3,-11.113
"52","2021-09-04",32.4871,-97.04825,"Worth Court",99159,NA,NA,12.6445,"PurpleAir",2021,9,4,4.5695
"53","2021-09-05",32.4871,-97.04825,"Worth Court",99159,NA,NA,11.182,"PurpleAir",2021,9,5,-1.4625
"54","2021-09-06",32.4871,-97.04825,"Worth Court",99159,NA,NA,16.3145,"PurpleAir",2021,9,6,5.1325
"55","2021-09-07",32.4871,-97.04825,"Worth Court",99159,NA,NA,22.184,"PurpleAir",2021,9,7,5.8695
"56","2021-09-08",32.4871,-97.04825,"Worth Court",99159,NA,NA,21.7465,"PurpleAir",2021,9,8,-0.4375
"57","2021-09-09",32.4871,-97.04825,"Worth Court",99159,NA,NA,9.902,"PurpleAir",2021,9,9,-11.8445
"58","2021-09-10",32.4871,-97.04825,"Worth Court",99159,NA,NA,6.589,"PurpleAir",2021,9,10,-3.313
"59","2021-09-11",32.4871,-97.04825,"Worth Court",99159,NA,NA,9.2915,"PurpleAir",2021,9,11,2.7025
"60","2021-09-12",32.4871,-97.04825,"Worth Court",99159,NA,NA,11.5535,"PurpleAir",2021,9,12,2.262
"61","2021-09-13",32.4871,-97.04825,"Worth Court",99159,NA,NA,11.447,"PurpleAir",2021,9,13,-0.1065
"62","2021-09-14",32.4871,-97.04825,"Worth Court",99159,NA,NA,5.2795,"PurpleAir",2021,9,14,-6.1675
"63","2021-09-15",32.4871,-97.04825,"Worth Court",99159,NA,NA,2.1785,"PurpleAir",2021,9,15,-3.101
"64","2021-09-16",32.4871,-97.04825,"Worth Court",99159,NA,NA,5.909,"PurpleAir",2021,9,16,3.7305
"65","2021-09-17",32.4871,-97.04825,"Worth Court",99159,NA,NA,14.423,"PurpleAir",2021,9,17,8.514
"66","2021-09-18",32.4871,-97.04825,"Worth Court",99159,NA,NA,12.9285,"PurpleAir",2021,9,18,-1.4945
"67","2021-09-19",32.4871,-97.04825,"Worth Court",99159,NA,NA,11.6785,"PurpleAir",2021,9,19,-1.25
"68","2021-09-20",32.4871,-97.04825,"Worth Court",99159,NA,NA,11.9105,"PurpleAir",2021,9,20,0.232000000000001
"69","2021-09-21",32.4871,-97.04825,"Worth Court",99159,NA,NA,10.3655,"PurpleAir",2021,9,21,-1.545
"70","2021-09-22",32.4871,-97.04825,"Worth Court",99159,NA,NA,1.5015,"PurpleAir",2021,9,22,-8.864
"71","2021-09-23",32.4871,-97.04825,"Worth Court",99159,NA,NA,6.153,"PurpleAir",2021,9,23,4.6515
"72","2021-09-24",32.4871,-97.04825,"Worth Court",99159,NA,NA,6.5305,"PurpleAir",2021,9,24,0.3775
"73","2021-09-25",32.4871,-97.04825,"Worth Court",99159,NA,NA,9.549,"PurpleAir",2021,9,25,3.0185
"74","2021-09-26",32.4871,-97.04825,"Worth Court",99159,NA,NA,12.3745,"PurpleAir",2021,9,26,2.8255
"75","2021-09-27",32.4871,-97.04825,"Worth Court",99159,NA,NA,12.8935,"PurpleAir",2021,9,27,0.519
"76","2021-09-28",32.4871,-97.04825,"Worth Court",99159,NA,NA,8.161,"PurpleAir",2021,9,28,-4.7325
"77","2021-09-29",32.4871,-97.04825,"Worth Court",99159,NA,NA,9.009,"PurpleAir",2021,9,29,0.847999999999999
"78","2021-09-30",32.4871,-97.04825,"Worth Court",99159,NA,NA,6.3285,"PurpleAir",2021,9,30,-2.6805
"79","2021-10-01",32.4871,-97.04825,"Worth Court",99159,NA,NA,8.0205,"PurpleAir",2021,10,1,1.692
"80","2021-10-02",32.4871,-97.04825,"Worth Court",99159,NA,NA,11.691,"PurpleAir",2021,10,2,3.6705
"81","2021-10-03",32.4871,-97.04825,"Worth Court",99159,NA,NA,15.955,"PurpleAir",2021,10,3,4.264
"82","2021-10-04",32.4871,-97.04825,"Worth Court",99159,NA,NA,11.8675,"PurpleAir",2021,10,4,-4.0875
"83","2021-10-05",32.4871,-97.04825,"Worth Court",99159,NA,NA,8.553,"PurpleAir",2021,10,5,-3.3145
"84","2021-10-06",32.4871,-97.04825,"Worth Court",99159,NA,NA,12.313,"PurpleAir",2021,10,6,3.76
"85","2021-10-07",32.4871,-97.04825,"Worth Court",99159,NA,NA,16.4025,"PurpleAir",2021,10,7,4.0895
"86","2021-10-08",32.4871,-97.04825,"Worth Court",99159,NA,NA,19.7115,"PurpleAir",2021,10,8,3.309
"87","2021-10-09",32.4871,-97.04825,"Worth Court",99159,NA,NA,12.352,"PurpleAir",2021,10,9,-7.3595
"88","2021-10-10",32.4871,-97.04825,"Worth Court",99159,NA,NA,10.4095,"PurpleAir",2021,10,10,-1.9425
"89","2021-10-11",32.4871,-97.04825,"Worth Court",99159,NA,NA,3.563,"PurpleAir",2021,10,11,-6.8465
"90","2021-10-12",32.4871,-97.04825,"Worth Court",99159,NA,NA,12.9805,"PurpleAir",2021,10,12,9.4175
"91","2021-10-13",32.4871,-97.04825,"Worth Court",99159,NA,NA,11.0435,"PurpleAir",2021,10,13,-1.937
"92","2021-10-14",32.4871,-97.04825,"Worth Court",99159,NA,NA,4.082,"PurpleAir",2021,10,14,-6.9615
"93","2021-10-15",32.4871,-97.04825,"Worth Court",99159,NA,NA,8.276,"PurpleAir",2021,10,15,4.194
