,time,lat,lon,address,site_number,no2,o3,pm25,source,year,month,day,pm_diff,Notes
132,01/23/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,13.352,PurpleAir,2023,1,23,-0.0685,
63,05/28/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,13.3425,PurpleAir,2022,5,28,6.373,
40,05/05/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,13.342,PurpleAir,2022,5,5,-2.235,
74,06/08/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,13.224,PurpleAir,2022,6,8,7.5005,
117,01/03/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,13.2125,PurpleAir,2023,1,3,-8.8145,
191,03/23/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,13.1835,PurpleAir,2023,3,23,6.54,
341,09/04/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,12.9275,PurpleAir,2023,9,4,-3.4655,
279,06/19/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,12.8015,PurpleAir,2023,6,19,1.06,
96,06/30/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,12.719,PurpleAir,2022,6,30,-7.1335,
13,04/04/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,12.6955,PurpleAir,2022,4,4,-7.9695,
333,08/27/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,12.6,PurpleAir,2023,8,27,-6.786,
161,02/21/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,12.5695,PurpleAir,2023,2,21,1.9955,
86,06/20/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,12.515,PurpleAir,2022,6,20,6.356,
38,05/03/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,12.4485,PurpleAir,2022,5,3,1.526,
304,07/29/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,12.384,PurpleAir,2023,7,29,0.3845,
323,08/17/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,12.282,PurpleAir,2023,8,17,6.7325,
316,08/10/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,12.22,PurpleAir,2023,8,10,1.0075,
47,05/12/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,12.1465,PurpleAir,2022,5,12,-2.2835,
51,05/16/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,12.113,PurpleAir,2022,5,16,4.4325,
22,04/15/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,12.0915,PurpleAir,2022,4,15,4.615,
303,07/28/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,11.9995,PurpleAir,2023,7,28,0.416,
231,05/02/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,11.836,PurpleAir,2023,5,2,5.0015,
278,06/18/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,11.7415,PurpleAir,2023,6,18,-16.226,
146,02/06/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,11.7115,PurpleAir,2023,2,6,-5.426,
4,03/26/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,11.693,PurpleAir,2022,3,26,-2.456,
83,06/17/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,11.656,PurpleAir,2022,6,17,-3.3025,
302,07/27/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,11.5835,PurpleAir,2023,7,27,4.814,
224,04/25/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,11.51,PurpleAir,2023,4,25,4.715,
98,07/02/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,11.4885,PurpleAir,2022,7,2,5.1615,
101,07/05/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,11.398,PurpleAir,2022,7,5,1.737,
249,05/20/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,11.2755,PurpleAir,2023,5,20,-5.1265,
315,08/09/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,11.2125,PurpleAir,2023,8,9,2.551,
35,04/28/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,11.1635,PurpleAir,2022,4,28,6.398,
309,08/03/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,11.163,PurpleAir,2023,8,3,3.736,
112,12/29/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,11.1375,PurpleAir,2022,12,29,1.2345,
80,06/14/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,11.0675,PurpleAir,2022,6,14,-3.04,
143,02/03/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,11.0535,PurpleAir,2023,2,3,8.547,
93,06/27/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,11.041,PurpleAir,2022,6,27,-2.507,
216,04/17/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,10.935,PurpleAir,2023,4,17,4.542,
37,05/02/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,10.9225,PurpleAir,2022,5,2,4.962,
246,05/17/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,10.9225,PurpleAir,2023,5,17,-2.8,
148,02/08/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,10.8365,PurpleAir,2023,2,8,2.4725,
138,01/29/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,10.649,PurpleAir,2023,1,29,1.491,
270,06/10/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,10.6415,PurpleAir,2023,6,10,-9.578,
