,time,lat,lon,address,site_number,no2,o3,pm25,source,year,month,day,pm_diff,Note
41,02/10/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,8.894,PurpleAir,2019,2,10,-6.5505,
42,02/11/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,17.1795,PurpleAir,2019,2,11,8.2855,
43,02/12/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,4.233,PurpleAir,2019,2,12,-12.9465,
44,02/13/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,2.725,PurpleAir,2019,2,13,-1.508,
45,02/14/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,2.934,PurpleAir,2019,2,14,0.209,
46,02/15/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,8.535,PurpleAir,2019,2,15,5.601,
47,02/16/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,20.7315,PurpleAir,2019,2,16,12.1965,
48,02/17/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,19.349,PurpleAir,2019,2,17,-1.3825,
49,02/18/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,5.5825,PurpleAir,2019,2,18,-13.7665,
50,02/19/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,11.5775,PurpleAir,2019,2,19,5.995,
51,02/20/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,4.8425,PurpleAir,2019,2,20,-6.735,
52,02/21/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,6.5205,PurpleAir,2019,2,21,1.678,
53,02/22/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,14.73,PurpleAir,2019,2,22,8.2095,
54,02/23/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,7.463,PurpleAir,2019,2,23,-7.267,
55,02/24/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,1.502,PurpleAir,2019,2,24,-5.961,
56,02/25/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,5.2,PurpleAir,2019,2,25,3.698,
57,02/26/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,10.0485,PurpleAir,2019,2,26,4.8485,
58,02/27/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,13.0035,PurpleAir,2019,2,27,2.955,
59,02/28/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,19.86,PurpleAir,2019,2,28,6.8565,
60,03/01/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,23.183,PurpleAir,2019,3,1,3.323,
61,03/02/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,34.577,PurpleAir,2019,3,2,11.394,
62,03/03/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,11.7915,PurpleAir,2019,3,3,-22.7855,
63,03/04/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,18.744,PurpleAir,2019,3,4,6.9525,
64,03/05/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,5.7295,PurpleAir,2019,3,5,-13.0145,
65,03/06/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,10.1355,PurpleAir,2019,3,6,4.406,
66,03/07/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,14.4875,PurpleAir,2019,3,7,4.352,
67,03/08/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,10.671,PurpleAir,2019,3,8,-3.8165,
68,03/09/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,15.6855,PurpleAir,2019,3,9,5.0145,
69,03/10/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,17.0495,PurpleAir,2019,3,10,1.364,
70,03/11/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,16.0225,PurpleAir,2019,3,11,-1.027,
71,03/12/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,23.857,PurpleAir,2019,3,12,7.8345,
72,03/13/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,11.4875,PurpleAir,2019,3,13,-12.3695,
73,03/14/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,9.134,PurpleAir,2019,3,14,-2.3535,
74,03/15/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,0.494,PurpleAir,2019,3,15,-8.64,
75,03/16/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,1.284,PurpleAir,2019,3,16,0.79,
76,03/17/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,3.497,PurpleAir,2019,3,17,2.213,
77,03/18/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,9.724,PurpleAir,2019,3,18,6.227,
78,03/19/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,12.724,PurpleAir,2019,3,19,3,
79,03/20/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,19.824,PurpleAir,2019,3,20,7.1,
80,03/21/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,13.862,PurpleAir,2019,3,21,-5.962,
81,03/22/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,15.607,PurpleAir,2019,3,22,1.745,
82,03/23/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,13.8975,PurpleAir,2019,3,23,-1.7095,
83,03/24/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,9.754,PurpleAir,2019,3,24,-4.1435,
84,03/25/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,21.8575,PurpleAir,2019,3,25,12.1035,
85,03/26/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,7.3545,PurpleAir,2019,3,26,-14.503,
86,03/27/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,12.2645,PurpleAir,2019,3,27,4.91,
87,03/28/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,11.4185,PurpleAir,2019,3,28,-0.846,
88,03/29/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,9.795,PurpleAir,2019,3,29,-1.6235,
89,03/30/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,6.5825,PurpleAir,2019,3,30,-3.2125,
90,03/31/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,3.766,PurpleAir,2019,3,31,-2.8165,
91,04/01/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,5.8625,PurpleAir,2019,4,1,2.0965,
92,04/02/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,7.5675,PurpleAir,2019,4,2,1.705,
93,04/03/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,8.8075,PurpleAir,2019,4,3,1.24,
94,04/04/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,16.646,PurpleAir,2019,4,4,7.8385,
95,04/05/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,22.3765,PurpleAir,2019,4,5,5.7305,
96,04/06/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,38.859,PurpleAir,2019,4,6,16.4825,
97,04/07/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,16.437,PurpleAir,2019,4,7,-22.422,
98,04/08/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,4.6565,PurpleAir,2019,4,8,-11.7805,
99,04/09/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,7.7095,PurpleAir,2019,4,9,3.053,
100,04/10/2019,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,7.3705,PurpleAir,2019,4,10,-0.339,
101,11/16/2020,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,0.629,PurpleAir,2020,11,16,-6.7415,
102,07/05/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,2.6115,PurpleAir,2021,7,5,1.9825,
103,07/06/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,5.398,PurpleAir,2021,7,6,2.7865,
104,07/07/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,2.3095,PurpleAir,2021,7,7,-3.0885,
105,07/08/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,1.84,PurpleAir,2021,7,8,-0.4695,
106,07/09/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,2.8355,PurpleAir,2021,7,9,0.9955,
